90.55,89.85,90.6,89.48,91.43,
89.86,91.43,91.57,89.56,91.32,
91.44,91.32,92.27,91.18,91.29,
91.33,91.29,91.35,90.59,91.33,
91.31,91.33,91.34,90.91,91.23,
91.33,91.23,91.38,90.82,91.24,
91.24,91.24,91.38,91.01,91.33,
91.25,91.33,91.44,91.21,91.48,
91.32,91.48,91.49,91.32,91.48,
91.33,91.48,91.61,91.33,91.37,
91.48,91.37,91.63,91.1,91.33,
91.38,91.33,91.38,91.04,91.51,
91.33,91.51,91.61,91.22,91.5,
91.5,91.5,91.57,91.43,91.33,
91.49,91.33,91.51,91.17,91.22,
91.32,91.22,91.6,91.17,90.56,
91.22,90.56,91.29,90.43,90.61,
90.57,90.61,91.01,90.47,89.99,
90.62,89.99,90.63,89.88,89.97,
89.98,89.97,90.23,89.74,90.26,
89.98,90.26,90.45,89.8,90.84,
90.26,90.84,91.15,90.2,91.98,
90.85,91.98,92.14,90.44,91.87,
91.99,91.87,92.46,91.75,91.56,
91.87,91.56,92.22,91.32,91.83,
91.57,91.83,91.98,91.33,91.58,
91.82,91.58,91.9,91.49,91.23,
91.59,91.23,91.86,91.23,91.21,
91.23,91.21,91.38,91.18,91.18,
91.21,91.18,91.25,91.08,90.75,
91.0,90.75,91.01,90.67,91.0,
90.75,91.0,91.22,90.58,91.01,
91.0,91.01,91.23,90.99,91.24,
91.01,91.24,91.26,90.85,91.11,
91.23,91.11,91.23,91.1,90.81,
91.11,90.81,91.14,90.78,90.87,
90.81,90.87,91.14,90.72,91.28,
90.88,91.28,91.37,90.37,91.83,
91.28,91.83,91.88,90.96,92.02,
91.84,92.02,92.1,91.74,91.81,
92.02,91.81,92.05,91.7,92.29,
91.81,92.29,92.37,91.76,92.5,
92.28,92.5,92.64,92.05,92.78,
92.51,92.78,92.96,91.91,93.67,
92.78,93.67,93.83,92.52,93.81,
93.68,93.81,93.93,93.25,93.99,
93.81,93.99,94.2,93.78,93.92,
93.99,93.92,94.09,93.49,93.87,
93.93,93.87,93.97,93.72,94.0,
93.86,94.0,94.07,93.86,94.15,
94.0,94.15,94.2,93.97,93.91,
93.87,93.91,94.09,93.83,94.14,
93.91,94.14,94.37,93.9,93.93,
94.14,93.93,94.14,93.78,94.05,
93.94,94.05,94.12,93.9,93.97,
94.05,93.97,94.13,93.93,93.94,
93.97,93.94,94.16,93.83,93.37,
93.94,93.37,93.94,93.34,93.67,
93.37,93.67,93.68,93.17,93.8,
93.69,93.8,94.16,93.59,93.74,
93.8,93.74,93.86,93.56,94.2,
93.73,94.2,94.28,93.66,94.05,
94.21,94.05,94.28,93.94,94.78,
94.04,94.78,94.83,93.98,94.27,
94.79,94.27,95.05,94.17,95.07,
94.27,95.07,95.22,94.17,94.79,
95.07,94.79,95.23,94.59,94.98,
94.79,94.98,95.18,94.71,94.9,
94.97,94.9,95.28,94.85,94.78,
94.88,94.78,95.12,94.7,95.02,
94.78,95.02,95.02,94.67,94.61,
95.0,94.61,95.03,94.44,94.59,
94.56,94.59,94.78,94.55,94.55,
94.59,94.55,94.69,94.34,94.23,
94.55,94.23,94.61,94.09,94.16,
94.23,94.16,94.27,93.93,94.21,
94.15,94.21,94.29,94.12,94.08,
94.21,94.08,94.25,93.9,93.91,
94.1,93.91,94.14,93.82,94.09,
93.92,94.09,94.11,93.7,94.19,
94.09,94.19,94.88,94.07,94.26,
94.21,94.26,94.29,93.85,94.58,
94.26,94.58,94.7,94.21,94.39,
94.59,94.39,94.74,94.39,94.23,
94.39,94.23,94.66,93.93,94.39,
94.23,94.39,94.58,93.81,93.96,
94.38,93.96,94.55,93.84,93.6,
93.98,93.6,94.01,93.01,93.35,
93.6,93.35,93.65,93.09,93.35,
93.36,93.35,93.48,93.22,93.86,
93.36,93.86,93.9,93.24,94.01,
93.86,94.01,94.03,93.85,93.2,
93.83,93.2,93.98,93.14,93.27,
93.19,93.27,93.29,92.62,93.11,
93.26,93.11,93.28,93.04,93.05,
93.11,93.05,93.12,92.95,93.05,
93.05,93.05,93.18,92.86,92.85,
93.04,92.85,93.05,92.65,93.23,
92.85,93.23,93.32,92.56,93.24,
93.23,93.24,93.29,92.56,92.92,
93.24,92.92,93.45,92.7,92.47,
92.93,92.47,92.93,92.19,92.33,
92.46,92.33,92.58,92.27,92.62,
92.33,92.62,92.68,91.88,93.25,
92.62,93.25,93.68,91.92,93.31,
93.25,93.31,93.57,92.71,92.48,
93.33,92.48,93.73,92.28,92.36,
92.47,92.36,92.85,91.93,91.84,
92.36,91.84,92.41,91.45,92.73,
91.83,92.73,92.9,91.83,92.52,
92.72,92.52,92.75,92.32,92.54,
92.53,92.54,92.59,92.41,92.79,
92.53,92.79,92.86,92.38,93.12,
92.63,93.12,93.13,92.55,93.52,
93.11,93.52,93.67,93.11,93.59,
93.52,93.59,93.67,93.43,93.47,
93.6,93.47,93.62,93.44,93.97,
