103,357;104,342;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
102,98;104,349;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
103,492;104,347;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
103,214;104,349;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
103,434;104,376;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
103,492;104,366;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
103,043;104,392;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
103,091;104,387;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
103,116;104,384;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
103,012;104,383;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
105,832;104,39;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
105,867;104,386;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
105,673;104,388;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
105,846;104,391;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
105,692;104,392;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
106,049;104,386;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
105,796;104,397;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
105,968;104,403;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
103,597;104,403;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
101,904;104,4;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
105,858;104,395;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
105,87;104,397;inputSlaveNetwork=1 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
105,789;104,373;inputSlaveNetwork=1 ;dayBackRange:5 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
105,607;104,424;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
105,781;104,417;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
104,985;104,414;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
105,827;104,414;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
105,901;104,413;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
105,942;104,423;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
106,012;104,414;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
104,876;104,444;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:50 ;periodCodePERIOD_CODE [code=15]
105,017;104,436;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:50 ;periodCodePERIOD_CODE [code=15]
105,576;104,431;inputSlaveNetwork=1 ;dayBackRange:20 ;interationNetworkMaster:50 ;periodCodePERIOD_CODE [code=15]
