144,274;148,001;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
144,645;147,978;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
144,773;147,966;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
145,038;147,967;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
144,643;147,956;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
144,812;147,941;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
144,287;147,927;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
144,629;147,956;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
145,195;147,926;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
145,15;147,97;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
145,205;147,967;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
145,348;147,953;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
145,196;147,952;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
148,78;147,954;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
148,889;147,979;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
148,945;147,977;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
148,94;147,976;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
148,858;147,982;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
149,218;147,972;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
148,809;147,981;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
148,97;147,98;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
144,717;147,993;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
143,985;147,961;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
143,528;147,978;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
148,974;147,978;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
148,451;147,981;inputSlaveNetwork=1 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
148,575;147,969;inputSlaveNetwork=20 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
148,811;147,971;inputSlaveNetwork=1 ;dayBackRange:5 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
148,691;147,999;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
148,749;148,009;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
149,035;148,011;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
150,091;148,015;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
149,994;148,011;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
150,045;148,011;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
150,07;148,023;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
150,274;148,02;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
147,692;148,019;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:50 ;periodCodePERIOD_CODE [code=15]
148,107;148,015;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:50 ;periodCodePERIOD_CODE [code=15]
147,682;148,031;inputSlaveNetwork=1 ;dayBackRange:20 ;interationNetworkMaster:50 ;periodCodePERIOD_CODE [code=15]
