145,934;144,966;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
145,888;144,957;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
145,765;144,957;inputSlaveNetwork=1 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
145,79;144,953;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
145,602;144,954;inputSlaveNetwork=20 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
145,917;144,97;inputSlaveNetwork=1 ;dayBackRange:5 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
145,648;144,977;inputSlaveNetwork=1 ;dayBackRange:5 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
146,086;144,989;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
146,148;145,003;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
146,105;145,014;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
146,117;145,002;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
146,023;144,993;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
145,927;145,006;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
146,965;145,011;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
146,915;145,011;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
147,081;145,01;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
146,872;145,031;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
147,258;145,028;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
145,961;145,003;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
135,486;144,997;inputSlaveNetwork=1 ;dayBackRange:370 ;interationNetworkMaster:50 ;periodCodePERIOD_CODE [code=10080]
144,989;145,017;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:50 ;periodCodePERIOD_CODE [code=15]
145,309;145,013;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:50 ;periodCodePERIOD_CODE [code=15]
144,501;145,009;inputSlaveNetwork=1 ;dayBackRange:20 ;interationNetworkMaster:50 ;periodCodePERIOD_CODE [code=15]
